NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Kevin Huerter,Atl,G-F,23.38,32,28.4,59.1,17.4,11.9,23,0.783,155,0.568,154,0.37,0.561,0.572,11.4,3.4,6.6,2.7,13.7,0.47,0.25,1.34,6.6,109.9,111.3
,Jay Huff,Lal,C,24.38,4,5.1,10.6,8.4,25,0,0,1,0,2,0,0,0,0,1,10.3,0.3,5.8,0.25,0.25,0.25,0,33.9,107.3
,Elijah Hughes,Uta,G,23.84,10,6.2,12.8,17,16.4,3,1,5,0.6,14,0.5,0.711,0.738,3,0.9,7.9,0.4,9.3,0.2,0,0.4,6.6,124.5,105
,De'Andre Hunter,Atl,F-G,24.11,11,27.8,58,18.4,10.8,10,0.4,73,0.479,38,0.395,0.518,0.516,10.8,2.7,5.3,0.6,3.3,0.64,0.27,1.27,3.7,94.2,107.7
,Chandler Hutchison,Pho,F-G,25.71,6,3.7,7.8,13.2,58.1,2,1,2,0.5,0,0,0.5,0.694,0.7,0.8,11.7,0.3,10.7,0,0,0.67,6,,
,Bones Hyland,Den,G,21.33,29,16.6,34.6,24.2,9.9,32,0.875,86,0.419,136,0.309,0.446,0.479,7.8,2.2,7.2,1.6,14,0.52,0.21,0.9,7.3,95,100.2
,Serge Ibaka,Lac,F,32.32,23,16,33.3,18.8,17.2,21,0.667,79,0.519,42,0.381,0.537,0.553,6.3,4,13.2,1.2,11.7,0.22,0.61,1.17,7.8,103,97.8
,Andre Iguodala,Gol,G-F,37.96,21,20.8,43.3,11.1,15.3,12,0.75,36,0.667,53,0.226,0.472,0.493,4.4,3.6,9.4,4.2,26.8,0.81,0.67,0.81,7.8,119.7,102
,Joe Ingles,Uta,F-G,34.28,36,25.2,52.6,13.2,15.8,18,0.778,49,0.612,178,0.376,0.575,0.585,7.6,2.9,6.3,3.6,18.8,0.56,0.14,1.22,6.8,118.3,105.8
,Brandon Ingram,Nor,F,24.36,32,34.6,72.2,29.4,11.8,177,0.825,441,0.481,153,0.353,0.493,0.545,22.9,6.1,9.5,5.1,26.2,0.59,0.34,2.81,10.3,108,110.6
,Kyrie Irving,Bro,G,29.81,2,35.9,74.7,27.9,13,5,1,28,0.536,10,0.3,0.513,0.547,22,5.5,8.1,4,18.6,2,1,3,8.7,101.3,103.7
,Wes Iwundu,Atl,F,27.06,3,27.4,57.1,11,4.8,4,0.75,13,0.385,5,0.6,0.528,0.557,7.3,4.3,8.5,0,0,0.33,0,0.33,0,115.2,108.2
,Jaren Jackson Jr.,Mem,F-C,22.33,42,27.4,57.1,25.8,10,175,0.84,325,0.48,240,0.313,0.475,0.533,16.3,5.6,10.9,1.1,6,1.05,2.02,1.69,6.8,106.1,98.8
,Frank Jackson,Det,G,23.69,33,22.7,47.3,20.3,7.6,53,0.83,119,0.513,186,0.333,0.505,0.536,10.7,1.5,3.7,0.9,7,0.48,0.24,0.82,4.3,103.9,111.1
,Isaiah Jackson,Ind,F,20.01,9,5.5,11.4,18.2,4.8,6,0.5,17,0.412,0,0,0.412,0.433,1.9,1.7,16.8,0,0,0.22,0.22,0.11,0,100.5,92.4
,Josh Jackson,Det,G-F,24.92,31,18.7,39,20,12.2,44,0.705,122,0.533,97,0.278,0.482,0.508,7.8,3.3,9.3,1.4,12.6,0.55,0.35,1.06,7.1,98.2,105.2
,Justin Jackson,Bos,F,26.8,1,2,4.2,41.3,0,2,1,1,0,0,0,0,0.532,2,0,0,0,0,0,0,0,0,,
,Justin Jackson,Pho,F,26.8,3,7.8,16.3,14.7,12.5,0,0,2,1,5,0.6,0.929,0.929,4.3,2,13.4,0,0,0,0,0.33,0,144.5,99.6
,Reggie Jackson,Lac,G,31.74,38,31.8,66.2,26.6,11.4,71,0.845,325,0.434,292,0.332,0.464,0.488,16.7,3.4,5.6,3.9,20.1,0.76,0.13,2.18,7.6,96.2,106
,LeBron James,Lal,F,37.03,29,36.8,76.6,30.5,12.6,163,0.785,367,0.624,226,0.372,0.599,0.63,28.9,7.5,10.6,6.6,32.1,1.72,1.14,3.31,12.2,118.9,105.2
,DeJon Jarreau,Ind,G,23.97,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,DaQuan Jeffries,Mem,G-F,24.37,3,2.9,6.1,9.5,0,0,0,1,1,1,0,0.5,0.5,0.7,0.7,12,0.3,14.9,0,0,0,7.3,,
,Ty Jerome,Okc,G-F,24.52,31,14.8,30.9,22.6,9.6,36,0.806,98,0.531,103,0.282,0.475,0.507,7.1,1.5,5.3,1.6,18.3,0.61,0.1,0.74,7,103.4,105.1
,Isaiah Joe,Phi,G,22.53,24,12.3,25.5,16.2,6.6,15,0.933,24,0.375,68,0.338,0.473,0.512,4.2,1.4,6.4,0.8,9.1,0.21,0.08,0.29,5.4,105.4,108.4
,Alize Johnson,Chi,F,25.72,16,7.5,15.7,12.4,23.5,7,0.571,21,0.571,2,0,0.522,0.537,1.8,2.3,16.4,0.5,8.7,0.19,0,0.5,6.8,112.6,98.6
,Alize Johnson,Was,F,25.72,3,6.1,12.6,23,31.8,1,0,4,0.5,2,0,0.333,0.311,1.3,4,35.9,0,0,0,0,1,0,73.5,110.2
,BJ Johnson,Orl,F,26.06,4,16.2,33.6,16.8,0,0,0,15,0.467,10,0.4,0.52,0.52,6.5,3.8,12.4,0,0,0,0.25,0,0,113.9,111.5
,Cameron Johnson,Pho,F,25.86,39,25.6,53.4,17.3,6.7,57,0.825,123,0.496,226,0.438,0.6,0.623,11.9,4.3,8.7,1.3,7,0.85,0.26,0.69,6.3,121,102.5
,David Johnson,Tor,G,20.88,2,1,2.1,21.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,James Johnson,Bro,F,34.89,27,18,37.4,12.5,12.1,17,0.353,89,0.551,27,0.259,0.513,0.506,4.6,3.6,10.5,1.7,13.1,0.44,0.41,0.63,6.8,108.6,100.9
,Jalen Johnson,Atl,F,20.07,11,4.7,9.9,18.1,9.2,6,0.667,11,0.545,6,0.333,0.529,0.56,2,1.2,13.5,0.1,2.8,0,0,0.18,5.3,103.8,110
,Joe Johnson,Bos,G-F,40.55,1,2,4.2,22,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
,Keldon Johnson,San,F-G,22.26,36,30.9,64.3,20.5,9.3,105,0.686,315,0.457,127,0.441,0.516,0.541,14.7,6.5,10.9,1.7,7.7,0.83,0.14,1.39,7.1,105.3,107.1
,Keon Johnson,Lac,G,19.84,15,9,18.7,21.9,10.4,21,0.762,40,0.35,11,0.273,0.363,0.44,3.5,1.4,8.2,0.9,14.2,0.47,0.13,0.47,7.3,94.9,93.5
,Stanley Johnson,Lal,F-G,25.62,7,22.6,47.1,10.1,8,10,0.9,12,0.75,18,0.222,0.5,0.567,5.6,2.7,6.3,1.3,7.4,1.29,0.43,0.43,4.8,118.5,94.5
,Tyler Johnson,Phi,G,29.68,3,12.7,26.5,13,9.1,0,0,3,0.333,7,0.429,0.55,0.55,3.7,2,8.7,0.7,7.4,0.33,0.33,0.33,5.4,109,102.4
,Tyler Johnson,San,G,29.68,3,17.7,36.9,8.7,9.1,0,0,4,0,6,0.333,0.3,0.3,2,2,5.8,1.7,11,0.67,0.67,0.33,4.3,87.7,109.9
,Nikola Jokic,Den,C,26.9,34,32.8,68.4,32.4,15.3,180,0.772,464,0.627,144,0.354,0.604,0.636,25.7,14.1,23.8,7,40.9,1.32,0.79,3.65,16.6,120.7,98.3
,Derrick Jones Jr.,Chi,F,24.91,30,17.8,37,12.9,9.5,46,0.848,85,0.659,37,0.405,0.643,0.689,6.5,3.5,10.7,0.5,4.1,0.5,0.77,0.5,5.1,136.9,98.5
,Carlik Jones,Dal,G,24.06,3,6.4,13.3,25.4,27.6,2,1,6,0,1,0,0,0.127,0.7,1,8.5,1.7,32.1,0.33,0,1,6.6,50.9,110.5
,Carlik Jones,Den,G,24.06,2,2,4.2,22.3,0,0,0,2,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,,
,Damian Jones,Sac,C,26.54,25,14.1,29.5,16.3,19.2,46,0.717,78,0.667,11,0.273,0.635,0.668,5.8,4.2,15.9,0.8,8,0.12,0.44,1.04,7.6,121.2,101.5
,Herbert Jones,Nor,F,23.27,38,28.7,59.9,13.1,12.2,66,0.818,206,0.51,59,0.373,0.521,0.561,8.7,3.7,7,1.8,9.4,1.42,1,1.08,5.4,112.8,104.9
,Jemerrio Jones,Lal,F,26.76,2,7.4,15.3,8.7,0,0,0,3,0.667,0,0,0.667,0.667,2,1.5,10.7,0,0,0.5,0,0,0,156,99.4
,Kai Jones,Cha,C-F,20.98,12,2.8,5.8,16.2,39.2,4,0.25,5,0.8,1,0,0.667,0.58,0.8,0.5,9.5,0.2,7.9,0,0,0.42,6.2,,
,Mason Jones,Lal,G,23.48,2,4.4,9.2,48,10.1,2,0.5,6,0.333,2,0,0.25,0.282,2.5,1,11.9,0,0,0.5,0,0.5,0,59.9,97.8
,Tre Jones,San,G,22.01,35,12.6,26.3,15.2,12.6,21,1,117,0.521,13,0.154,0.492,0.535,4.3,2,8.3,2.3,23.8,0.37,0,0.57,8.6,115.3,106.9
,Tyus Jones,Mem,G,25.67,42,21.4,44.6,15.6,9.8,36,0.917,182,0.522,107,0.402,0.552,0.577,8.4,2.8,6.8,4.2,27.2,0.88,0.05,0.79,8.6,125.6,111.4
,DeAndre Jordan,Lal,C,33.48,28,13,27.1,12.8,17.4,17,0.588,83,0.675,0,0,0.675,0.674,4.4,5.6,22.5,0.4,4.3,0.36,0.86,0.68,6.6,126.1,94.8
,Cory Joseph,Det,G,30.4,29,22.2,46.3,15.1,18.5,52,0.846,102,0.48,60,0.417,0.534,0.587,7.5,2.1,5.1,3.7,25.6,0.79,0.17,1.45,7,112.3,108.8
,Georgios Kalaitzakis,Mil,F,23.03,9,5.3,11.1,17,21.1,9,0.444,7,0.429,4,0.5,0.545,0.535,1.8,0.9,8.8,0,0,0.11,0.11,0.44,0,93.1,96
,Frank Kaminsky,Pho,F-C,28.78,9,20.1,41.9,19,6.3,20,0.9,51,0.608,15,0.333,0.583,0.635,10.6,4.6,11.9,1.4,10.6,0.89,0.78,0.56,8.1,130.6,99.4
,Luke Kennard,Lac,G,25.55,35,29,60.4,16,7.3,33,0.879,109,0.413,220,0.441,0.579,0.597,11.7,3.4,6.1,2.1,10.6,0.69,0.14,0.77,6,115.5,106.1
,Braxton Key,Phi,F,24.91,2,3.2,6.7,28.1,50,0,0,1,1,1,0,0.5,0.5,1,1,17.2,0.5,23.7,0.5,0,1,9.9,,
,George King,Dal,F-G,27.99,4,4.8,10,16,14.5,2,0.5,1,0,4,0,0,0.085,0.3,1.3,14.2,0,0,0,0,0.25,0,16.6,86.1
,Louis King,Sac,F,22.77,5,11,23,22.5,0,7,0.857,10,0.4,16,0.313,0.442,0.499,5.8,1.6,7.7,0.2,2.7,0.4,0,0,4.5,106.4,101
,Corey Kispert,Was,F,22.86,36,17.3,36,14.5,8.4,33,0.848,75,0.587,96,0.292,0.503,0.539,5.6,2,6.4,0.8,6.7,0.28,0.28,0.47,4.8,108.8,112.6
,Maxi Kleber,Dal,F,29.95,25,24.7,51.4,13.2,9.3,26,0.731,39,0.564,115,0.374,0.562,0.58,7.7,6.1,13.5,1.1,6.2,0.44,0.88,0.68,6,116.2,99.8
,Brandon Knight,Dal,G,30.11,3,18.2,37.8,22.6,14.5,8,1,7,0.714,13,0.308,0.55,0.638,10,2.3,7,2.7,22.7,0.33,0,1.33,8.7,119.6,101.7
,Nathan Knight,Min,F-C,24.31,21,8.5,17.8,17.4,16.1,40,0.7,38,0.579,7,0.286,0.556,0.623,3.7,2.5,15.3,0.7,11.2,0.14,0.33,0.57,8.8,122.5,97.6
,Kevin Knox II,Nyk,F,22.42,12,9.1,19,19.6,10.3,10,0.7,12,0.417,27,0.37,0.513,0.541,3.9,1.8,10.3,0.3,4.3,0.17,0.08,0.42,5.6,107.5,109.6
,John Konchar,Mem,G,25.81,35,16.5,34.5,9.9,10.9,23,0.565,61,0.59,51,0.49,0.656,0.655,4.6,3.9,12.6,1.3,10.5,0.83,0.2,0.43,6.9,135,103.7
,Furkan Korkmaz,Phi,G-F,24.47,35,23.1,48.1,19.5,8.6,44,0.818,128,0.5,172,0.302,0.473,0.501,9.1,3.2,7.7,2.3,14.5,0.63,0.11,0.86,7,102.8,110.3
,Luke Kornet,Cle,F-C,26.5,2,7.5,15.5,18.6,0,3,0.667,4,0.25,1,0,0.2,0.316,2,1.5,10.8,0.5,8.8,0,0.5,0,6.1,96.5,106.1
,Luke Kornet,Mil,F-C,26.5,1,3,6.3,14.3,0,0,0,1,0,0,0,0,0,0,1,17.5,0,0,0,0,0,0,,
,Vit Krejci,Okc,G,21.57,3,3.1,6.4,18.3,25.8,2,1,0,0,2,0,0,0.347,0.7,1,16.6,0,0,0,0,0.33,0,,
,Arnoldas Kulboka,Cha,F,24.02,1,2.7,5.6,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Jonathan Kuminga,Gol,F,19.27,28,9.7,20.1,23.6,12.9,45,0.6,74,0.568,34,0.265,0.514,0.54,4.9,1.7,9.7,0.3,4.6,0.36,0.11,0.68,5.6,98.1,93.1
,Kyle Kuzma,Was,F,26.47,39,33.3,69.4,21.8,12.4,113,0.681,286,0.552,223,0.323,0.523,0.545,15.6,8.6,14.1,2.8,13,0.64,0.69,2.03,8.7,103.7,106.6
,Anthony Lamb,San,F,23.98,2,3.9,8,11,0,0,0,0,0,2,0,0,0,0,0.5,6.7,1,29,0,0,0,0,,
,Jeremy Lamb,Ind,G-F,29.62,28,14.6,30.5,21.8,7.3,48,0.917,85,0.4,84,0.333,0.45,0.515,7,2.5,9.6,1.3,13.3,0.46,0.36,0.54,7.8,109.7,105.8
,Jock Landale,San,C,26.22,22,9.4,19.6,19.6,13.5,16,0.875,48,0.625,28,0.5,0.671,0.698,5.3,2,10.8,0.9,13.5,0.09,0.36,0.59,9,131.3,106.7
,Romeo Langford,Bos,G-F,22.22,31,18.9,39.4,12.4,7.3,23,0.652,81,0.494,62,0.323,0.49,0.506,5,3.1,8.7,0.5,4.2,0.61,0.39,0.39,4.2,107.5,104.9
,Zach LaVine,Chi,G-F,26.84,36,34.9,72.6,30,11.9,168,0.869,416,0.541,268,0.41,0.57,0.611,25.7,5,7.8,4.2,20.3,0.61,0.33,2.83,9.3,113.6,108.6
,Jake Layman,Min,F,27.85,18,8.6,17.9,15.2,12.4,8,0.75,22,0.591,24,0.167,0.413,0.444,2.4,1.3,7.8,0.3,4.5,0.28,0.17,0.39,4.5,88.3,109.2
,Damion Lee,Gol,G-F,29.23,29,20.3,42.3,16.8,7,37,0.865,99,0.525,96,0.354,0.528,0.563,8.2,3,8,1,7.1,0.55,0.14,0.55,5.7,111.4,100.1
,Saben Lee,Det,G,22.56,21,15.8,33,18.5,13.2,37,0.757,66,0.485,43,0.279,0.459,0.511,6.1,2.5,8.4,2.5,25,1.1,0.38,0.9,8.5,106.1,106.9
,Alex Len,Sac,C,28.58,27,17.8,37.1,17.3,16.9,46,0.674,123,0.561,19,0.316,0.549,0.576,6.9,5,14.8,1.1,8.9,0.26,0.81,1.22,7.6,109,99
,Caris LeVert,Ind,G,27.38,28,30.4,63.2,27.2,9.2,93,0.796,299,0.488,142,0.31,0.481,0.517,17.8,3.3,6,4,21.8,1.04,0.54,1.75,8.1,105.9,108.2
,Kira Lewis Jr.,Nor,G,20.77,24,14.2,29.6,22.2,14.7,12,0.833,88,0.523,58,0.224,0.449,0.466,5.9,1.6,6.2,2,23,0.46,0.04,1.08,7.5,94.7,112.3
,Scottie Lewis,Cha,G,21.84,2,3.3,6.9,5.6,0,2,0.5,0,0,0,0,,0.568,0.5,0,0,0.5,17.2,0.5,0,0,0,,
,Damian Lillard,Por,G,31.5,29,36.4,75.9,29.5,11.6,181,0.878,268,0.485,284,0.324,0.486,0.55,24,4.1,6.2,7.3,33.5,0.59,0.38,2.86,9.8,112.9,116.7
,Nassir Little,Por,F-G,21.92,35,25.3,52.6,15.6,9.8,75,0.72,130,0.569,123,0.317,0.524,0.558,9.1,5.6,12.2,1.2,6.8,0.66,0.89,0.89,6.2,114,108.8
,Isaiah Livers,Det,F,23.46,1,4.7,9.8,27.3,33.3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,84.6
,Kevon Looney,Gol,F,25.93,40,19.9,41.5,13.4,13,60,0.617,187,0.54,1,0,0.537,0.557,6,6.7,18.2,1.6,11,0.55,0.78,0.8,8.1,122.8,90.9
,Brook Lopez,Mil,C,33.78,1,28.2,58.8,13.7,0,0,0,5,0.2,4,0.5,0.444,0.444,8,5,9.3,0,0,1,3,0,0,104.3,100.9
,Robin Lopez,Orl,C,33.78,17,17.8,37.2,19.8,16.6,22,0.591,103,0.592,3,0,0.575,0.584,7.9,3.7,11.1,2,19.6,0.06,0.59,1.35,8.7,114,108
,Didi Louzada,Nor,G,20,2,3.5,7.2,18.6,0,0,0,0,0,3,0,0,0,0,1,15.7,0.5,18.2,0,0,0,0,,
,Kevin Love,Cle,F-C,33.35,33,21.5,44.9,26,9.5,109,0.881,127,0.465,207,0.411,0.558,0.614,14.2,7.5,18.6,2.1,15.6,0.33,0.24,1.21,11.3,121.3,100.4
,Kyle Lowry,Mia,G,35.8,36,34.3,71.5,19.8,20.6,103,0.845,162,0.562,231,0.325,0.518,0.564,13.7,4.5,7.3,8.4,35.9,0.97,0.36,3.17,9.4,112.9,103.3
,Timothe Luwawu-Cabarrot,Atl,G-F,26.68,26,14.6,30.4,14.2,8.1,18,0.833,33,0.455,73,0.356,0.509,0.54,4.7,1.7,6.1,0.8,7.5,0.38,0.15,0.38,5.1,110.9,107.4
,Trey Lyles,Det,F,26.19,37,18.7,38.9,20.9,10.6,92,0.815,153,0.536,109,0.294,0.496,0.554,9.1,4.7,13.4,1.2,10.5,0.38,0.38,0.97,7.9,110.5,105.3
,Theo Maledon,Okc,G,20.59,21,13.6,28.3,16.6,16.5,30,0.867,34,0.412,44,0.182,0.333,0.428,3.7,1.8,6.6,1,11.1,0.48,0.1,0.86,5.5,86.7,106
,Sandro Mamukelashvili,Mil,F-C,22.64,22,11.9,24.8,14.6,10.1,12,0.75,40,0.475,35,0.371,0.513,0.536,3.9,2.4,10.4,0.5,6.4,0.27,0.27,0.41,5.6,116.1,106.7
,Terance Mann,Lac,G-F,25.23,41,29.5,61.6,15.3,10.7,77,0.74,226,0.54,117,0.376,0.548,0.574,10.6,5.3,9.4,2.4,11.9,0.54,0.15,1.1,7,116.1,103.5
,Tre Mann,Okc,G,20.94,27,17,35.4,20.8,8.2,24,0.667,113,0.425,79,0.354,0.469,0.484,7.3,2.2,6.5,0.7,6.5,0.48,0.22,0.67,5.3,94.5,104.8
,Boban Marjanovic,Dal,C,33.41,16,6,12.4,34.8,14.9,16,0.5,53,0.642,3,0.333,0.634,0.627,4.9,1.9,17.2,0.1,4.7,0,0.13,0.69,6.5,100.5,87.5
,Lauri Markkanen,Cle,F-C,24.64,32,30.4,63.3,19.4,6.3,65,0.862,184,0.522,191,0.309,0.492,0.527,13.3,5.3,9.4,1.7,8.2,0.69,0.53,0.84,6.5,109.3,103.7
,Naji Marshall,Nor,F,23.97,21,10.3,21.4,19.4,20.5,29,0.862,38,0.447,27,0.111,0.331,0.437,3.2,2.6,13.9,1,13.2,0.43,0.14,0.95,7.9,89,103
,Kenyon Martin Jr.,Hou,F,21.02,39,18.9,39.4,17,8.8,66,0.652,171,0.608,70,0.329,0.575,0.593,8.2,3.7,10.7,1.3,11.3,0.41,0.54,0.67,7.2,119.3,112.5
,Caleb Martin,Mia,F,26.29,30,22.7,47.3,16,9,45,0.667,123,0.593,81,0.37,0.578,0.594,8.9,3.6,8.9,1,6.6,0.93,0.57,0.73,5.6,117.9,103.9
,Cody Martin,Cha,F,26.29,36,26.8,55.8,12.7,10.4,58,0.724,151,0.483,82,0.476,0.564,0.59,8.5,4.1,8.1,2.7,13.3,1.47,0.5,0.83,6.8,123.6,111.1
,Kelan Martin,Ind,F,26.44,27,16.4,34.3,18.4,7.5,13,0.692,94,0.511,74,0.297,0.482,0.492,6.3,2,6.6,0.8,7,0.48,0.33,0.52,5.3,100.9,107.3
,Garrison Mathews,Hou,G,25.22,25,28.5,59.5,15.2,7,69,0.797,35,0.657,173,0.37,0.572,0.615,11.7,3.6,6.9,0.9,4.6,0.68,0.44,0.72,4.7,119.9,108.9
,Dakota Mathias,Mem,G,26.51,4,2,4.1,21.4,0,0,0,0,0,4,0.5,0.75,0.75,1.5,0.5,13.6,0,0,0,0,0,0,,
,Dakota Mathias,Mem,G,26.51,4,2,4.1,21.4,0,0,0,0,0,4,0.5,0.75,0.75,1.5,0.5,13.6,0,0,0,0,0,0,,
,Wesley Matthews,Mil,G,35.25,15,20.3,42.3,12.4,9,6,0.5,22,0.682,56,0.429,0.654,0.651,7,2.1,5.5,0.8,5.5,0.4,0.33,0.53,4.5,123.8,106.5
,Tyrese Maxey,Phi,G,21.19,32,34.5,72,21,7.8,101,0.871,323,0.505,108,0.38,0.521,0.565,16.8,3.5,5.5,4.5,20.5,0.72,0.56,1.25,7.4,116.1,108.7
,Skylar Mays,Atl,G,24.35,16,11.4,23.6,15.9,9.1,7,1,34,0.676,23,0.348,0.614,0.641,4.8,1.4,6.8,0.8,10.5,0.44,0,0.38,6.1,125.1,114.2
,Miles McBride,Nyk,G,21.34,16,8.9,18.5,17.7,5.3,4,0.75,25,0.4,27,0.185,0.337,0.353,2.4,0.9,5.3,1.2,19.9,0.5,0.06,0.19,6.2,89.5,101.6
,Mac McClung,Chi,G,23.02,1,2.6,5.4,33.7,50,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,1,0,,
,CJ McCollum,Por,G,30.32,24,35.3,73.6,26.7,8.9,50,0.7,255,0.447,196,0.393,0.509,0.522,20.6,4.1,6.4,4.5,21.6,1.08,0.71,1.92,8.2,106.9,113.3
,T.J. McConnell,Ind,G,29.8,24,24.2,50.4,16.2,13,15,0.8,156,0.538,25,0.28,0.522,0.536,8.4,3.3,7.6,4.8,29.5,1.04,0.38,1.17,8.4,116.4,106.6
,Jalen McDaniels,Cha,F-C,23.95,34,17.9,37.3,15.1,12.4,44,0.659,96,0.594,75,0.387,0.588,0.604,6.8,3.5,10.3,1.2,9.1,0.59,0.41,0.79,6.8,115.4,106.7
,Jaden McDaniels,Min,F,21.29,38,26.5,55.1,14.5,11.8,33,0.818,162,0.537,131,0.282,0.486,0.507,8.2,4.6,9.1,1.1,5.8,0.82,0.61,1.08,5.2,102.6,100.4
,Doug McDermott,San,F,30.03,26,24.6,51.3,17.9,7,22,0.727,109,0.532,134,0.41,0.578,0.588,11.4,2.6,5.5,1.3,7.6,0.15,0.08,0.73,5.5,112.6,111.4
,JaVale McGee,Pho,C-F,33.98,36,16,33.3,24.4,17.2,80,0.675,230,0.661,4,0.25,0.656,0.671,10,7.1,23.1,0.6,6.6,0.33,0.81,1.56,8.7,118.9,87.2
,Cameron McGriff,Por,F,24.29,3,15.3,31.9,14.1,0,2,1,8,0.375,6,0.333,0.429,0.47,4.7,5,17.9,1,9.3,0,0.33,0,7.5,125.9,102.1
,Rodney McGruder,Det,G,30.46,17,9.5,19.7,14.3,14.9,4,0.75,23,0.522,21,0.238,0.443,0.459,2.5,1.6,9.3,0.6,10.5,0.18,0.12,0.47,5.6,94.1,109.2
,Alfonzo McKinnie,Chi,F,29.32,7,14.1,29.3,14.2,9.4,2,0,12,0.5,16,0.5,0.643,0.623,5.1,1.6,6.1,0.4,4.2,0.29,0.29,0.43,4.2,118.2,105.5
,JaQuori McLaughlin,Dal,G,23.95,4,2.7,5.7,8.2,0,0,0,1,0,1,0,0,0,0,0,0,0.5,22.6,0,0,0,0,,
,Jordan McLaughlin,Min,G,25.76,28,11.2,23.4,13.6,18.5,22,0.682,46,0.37,28,0.143,0.311,0.364,2.2,1.1,5,2.4,27.5,0.64,0.04,0.68,6.4,93.8,110.5
,Ben McLemore,Por,G,28.92,23,15.8,32.9,20.3,8.3,15,0.867,32,0.5,117,0.419,0.601,0.617,8.3,1.3,4.5,0.7,6.6,0.3,0.09,0.61,5,115.8,111.8
,De'Anthony Melton,Mem,G,23.63,34,23.5,49,20.3,14.4,48,0.75,148,0.473,164,0.317,0.474,0.498,9.8,4.4,10,2.9,16.9,1.62,0.65,1.65,8.5,101.5,102.1
,Sam Merrill,Mem,G,25.66,6,9.6,20.1,20,7.2,4,0.5,1,1,23,0.304,0.479,0.485,4.2,1.2,6.4,0.7,9.4,0,0,0.33,6.3,101.9,111
,Chimezie Metu,Sac,F-C,24.81,27,22.8,47.5,18.7,8.9,36,0.778,127,0.52,103,0.272,0.47,0.496,9,6.3,14.7,1,6.5,0.89,0.67,0.89,6.7,99.5,106.8
,Khris Middleton,Mil,F,30.42,31,31.5,65.6,27.3,16.1,138,0.884,270,0.47,191,0.377,0.51,0.567,19.1,5.5,9.2,5.3,26.2,1.1,0.19,3.23,10.4,108.4,103.6
,CJ Miles,Bos,G,34.82,1,2,4.2,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Paul Millsap,Bro,F,36.92,23,10.9,22.7,16.6,10.4,17,0.706,53,0.415,26,0.231,0.392,0.428,3.2,3.4,16.7,1,12.4,0.22,0.35,0.43,8.1,102.6,90.5
,Patty Mills,Bro,G,33.42,39,31,64.6,17.1,9,29,0.897,125,0.464,296,0.412,0.572,0.586,13,2.1,3.5,2.6,12.1,0.62,0.33,1.1,5.3,112.7,111.1
,Shake Milton,Phi,G-F,25.29,27,24.8,51.6,20.6,10.1,48,0.854,175,0.48,79,0.316,0.478,0.516,10.5,3,6.7,2.8,17.2,0.78,0.41,1.15,7.2,105,105.4
,Davion Mitchell,Sac,G,23.35,37,24.8,51.6,18.7,9,34,0.647,212,0.443,138,0.304,0.449,0.46,9.1,2.2,4.6,3.2,18.9,0.62,0.19,0.97,6.5,99.7,111.6
,Donovan Mitchell,Uta,G,25.35,37,33.4,69.5,33.1,11.7,159,0.881,419,0.544,349,0.347,0.533,0.572,25.9,3.8,6.1,5.2,26.7,1.62,0.22,3,9.6,113.4,104.5
,Evan Mobley,Cle,C,20.57,33,34,70.9,19.6,11.6,102,0.735,348,0.532,51,0.294,0.52,0.552,14.8,8.1,12.8,2.6,11.7,0.85,1.76,1.76,8,109.4,101.3
